Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1242.0,28.0,2010.0,8.0,21.0,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,1514.0,5.0
7401.0,2.0,2013.0,7.0,361.0,5.28,4.19,4.35,0.78,14.6,71.0,21.0,7.5,24.0,1539.0,1.0
1244.0,17.0,2012.0,8.0,21.0,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,1514.0,5.0
1244.0,28.0,2012.0,8.0,21.0,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,1514.0,5.0
1248.0,28.0,2009.0,8.0,21.0,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,728.0,5.0
1249.0,17.0,2011.0,8.0,21.0,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,729.0,5.0
3741.0,16.0,2001.0,0.0,497.0,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,363.0,5.0
9479.0,26.0,2008.0,2.0,361.0,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,576.0,7.0
5610.0,2.0,2011.0,6.0,361.0,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,1211.0,1.0
1242.0,17.0,2010.0,8.0,21.0,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,1514.0,5.0
3743.0,18.0,2014.0,0.0,497.0,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,1220.0,5.0
359.0,4.0,2005.0,9.0,361.0,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,1020.0,1.0
3923.0,28.0,2007.0,8.0,325.0,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,258.0,5.0
9385.0,10.0,1996.0,4.0,361.0,6.91,2.85,1.91,0.23,11.89,71.0,21.0,7.5,24.0,1539.0,1.0
7380.0,4.0,2009.0,0.0,361.0,4.34,2.71,3.96,0.76,11.77,71.0,21.0,7.5,24.0,1539.0,1.0
7385.0,2.0,2014.0,7.0,361.0,4.35,3.49,3.1,0.74,11.68,71.0,21.0,7.5,24.0,1539.0,1.0
3725.0,16.0,2004.0,6.0,458.0,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,1130.0,1.0
9393.0,26.0,2007.0,4.0,361.0,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,1020.0,1.0
9397.0,5.0,1992.0,1.0,361.0,6.16,2.04,2.69,0.29,11.18,71.0,21.0,7.5,24.0,1539.0,1.0
3742.0,28.0,2008.0,0.0,497.0,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,1220.0,5.0
3721.0,15.0,1997.0,6.0,458.0,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,1130.0,1.0
9383.0,2.0,2011.0,4.0,361.0,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,1020.0,1.0
3727.0,17.0,2010.0,6.0,458.0,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,1130.0,1.0
1248.0,17.0,2009.0,8.0,21.0,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,728.0,5.0
9387.0,23.0,1993.0,4.0,361.0,5.99,2.15,2.12,0.29,10.55,71.0,21.0,7.5,24.0,1539.0,1.0
3742.0,17.0,2008.0,0.0,497.0,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,1220.0,5.0
7378.0,6.0,2004.0,7.0,361.0,4.34,2.65,3.15,0.35,10.49,71.0,21.0,7.5,24.0,1539.0,1.0
9385.0,4.0,2004.0,4.0,361.0,5.01,3.07,1.25,0.97,10.3,71.0,21.0,7.5,24.0,1539.0,1.0
1246.0,28.0,2013.0,8.0,21.0,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,728.0,5.0
4739.0,26.0,2011.0,3.0,528.0,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,1539.0,2.0
6768.0,2.0,2012.0,4.0,361.0,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,1020.0,1.0
5609.0,10.0,1996.0,6.0,361.0,5.55,1.94,2.23,0.15,9.87,71.0,21.0,7.5,24.0,1539.0,1.0
3931.0,28.0,2010.0,8.0,325.0,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,256.0,5.0
3195.0,15.0,1997.0,7.0,458.0,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,1370.0,7.0
3925.0,28.0,2012.0,8.0,325.0,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,18.0,5.0
3723.0,15.0,1999.0,6.0,458.0,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,1130.0,7.0
4733.0,26.0,2010.0,3.0,528.0,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,1539.0,2.0
1246.0,17.0,2013.0,8.0,21.0,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,728.0,5.0
1239.0,28.0,2007.0,8.0,21.0,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,728.0,5.0
2345.0,23.0,1994.0,4.0,361.0,4.36,1.71,3.0,0.23,9.3,71.0,21.0,7.5,24.0,1539.0,1.0
5974.0,28.0,2013.0,3.0,325.0,5.7,2.65,0.02,0.81,9.18,71.0,21.0,7.5,24.0,1539.0,1.0
358.0,2.0,2012.0,9.0,361.0,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,1020.0,1.0
5628.0,4.0,2007.0,3.0,361.0,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,681.0,1.0
9872.0,28.0,2011.0,7.0,66.0,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,175.0,5.0
9395.0,23.0,1992.0,6.0,361.0,3.54,1.24,3.81,0.18,8.76,71.0,21.0,7.5,24.0,1539.0,1.0
2955.0,18.0,2015.0,10.0,139.0,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,449.0,1.0
3921.0,29.0,2004.0,8.0,325.0,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,257.0,5.0
11072.0,26.0,2010.0,3.0,361.0,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,994.0,1.0
5625.0,26.0,2007.0,3.0,361.0,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,679.0,1.0
2970.0,17.0,2012.0,0.0,139.0,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,477.0,1.0
3697.0,10.0,1997.0,8.0,361.0,5.8,2.01,0.13,0.15,8.09,71.0,21.0,7.5,24.0,1539.0,1.0
7370.0,4.0,2012.0,7.0,361.0,2.79,1.72,3.14,0.41,8.07,71.0,21.0,7.5,24.0,1539.0,1.0
3198.0,16.0,2001.0,7.0,458.0,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,1370.0,7.0
10137.0,13.0,2009.0,9.0,139.0,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,1485.0,7.0
5598.0,26.0,2007.0,10.0,448.0,2.57,3.86,0.66,0.91,7.99,71.0,21.0,7.5,24.0,1539.0,1.0
9128.0,18.0,2015.0,8.0,139.0,2.99,3.49,0.22,1.28,7.98,71.0,21.0,7.5,24.0,1539.0,1.0
3197.0,15.0,1999.0,7.0,469.0,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,1370.0,7.0
7071.0,0.0,1982.0,5.0,53.0,7.28,0.45,0.0,0.08,7.81,71.0,21.0,7.5,24.0,1539.0,1.0
7413.0,4.0,2008.0,7.0,361.0,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,580.0,1.0
3745.0,19.0,2005.0,0.0,497.0,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,1218.0,5.0
1241.0,18.0,2014.0,8.0,21.0,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,1326.0,5.0
10029.0,10.0,1998.0,0.0,361.0,4.1,1.89,1.45,0.16,7.6,71.0,21.0,7.5,24.0,1539.0,1.0
2956.0,18.0,2016.0,10.0,139.0,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,452.0,1.0
1682.0,15.0,1997.0,4.0,458.0,3.78,2.17,1.31,0.31,7.58,71.0,21.0,7.5,24.0,1539.0,1.0
9481.0,2.0,2014.0,2.0,361.0,3.27,1.37,2.43,0.48,7.55,71.0,21.0,7.5,24.0,1539.0,1.0
9394.0,26.0,2010.0,4.0,361.0,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,1021.0,1.0
9390.0,11.0,1988.0,4.0,361.0,5.39,1.18,0.7,0.19,7.46,71.0,21.0,7.5,24.0,1539.0,1.0
1243.0,30.0,2015.0,8.0,21.0,4.59,2.11,0.01,0.68,7.39,71.0,21.0,7.5,24.0,1539.0,1.0
1256.0,28.0,2008.0,8.0,21.0,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,1514.0,5.0
737.0,28.0,2011.0,8.0,139.0,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,437.0,5.0
6712.0,16.0,2003.0,6.0,139.0,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,429.0,1.0
4732.0,26.0,2009.0,3.0,528.0,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,1550.0,2.0
737.0,17.0,2011.0,8.0,139.0,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,437.0,5.0
3012.0,18.0,2015.0,7.0,66.0,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,175.0,5.0
9721.0,15.0,1998.0,2.0,458.0,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,978.0,7.0
10039.0,26.0,2006.0,0.0,361.0,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,1020.0,7.0
7398.0,2.0,2016.0,7.0,361.0,2.98,1.45,2.26,0.45,7.14,71.0,21.0,7.5,24.0,1539.0,1.0
1684.0,15.0,1998.0,4.0,458.0,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,989.0,1.0
5611.0,27.0,2014.0,6.0,361.0,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,1020.0,1.0
9480.0,7.0,2001.0,2.0,361.0,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,638.0,7.0
5614.0,7.0,2003.0,6.0,361.0,4.12,1.77,0.87,0.19,6.95,71.0,21.0,7.5,24.0,1539.0,1.0
6713.0,16.0,2004.0,6.0,139.0,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,431.0,1.0
5737.0,16.0,2002.0,8.0,139.0,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,441.0,7.0
1681.0,15.0,1996.0,4.0,458.0,3.23,2.35,0.94,0.3,6.82,71.0,21.0,7.5,24.0,1539.0,1.0
4740.0,26.0,2012.0,3.0,528.0,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,1539.0,2.0
3542.0,28.0,2008.0,8.0,325.0,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,493.0,5.0
10703.0,17.0,2011.0,0.0,458.0,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,989.0,7.0
11531.0,26.0,2010.0,10.0,6.0,3.45,2.59,0.0,0.66,6.71,71.0,21.0,7.5,24.0,1110.0,1.0
1239.0,17.0,2007.0,8.0,21.0,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,728.0,5.0
10702.0,17.0,2009.0,0.0,458.0,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,989.0,7.0
2952.0,17.0,2011.0,10.0,139.0,0.84,4.3,0.11,1.39,6.65,71.0,21.0,7.5,24.0,1539.0,1.0
816.0,4.0,2005.0,3.0,361.0,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,1020.0,1.0
10021.0,11.0,1986.0,0.0,361.0,3.74,0.93,1.69,0.14,6.51,71.0,21.0,7.5,24.0,1539.0,1.0
7875.0,17.0,2010.0,0.0,497.0,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,1221.0,5.0
2953.0,17.0,2013.0,10.0,139.0,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,431.0,1.0
501.0,17.0,2012.0,0.0,528.0,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,1539.0,5.0
2350.0,26.0,2010.0,4.0,361.0,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,1210.0,1.0
3929.0,29.0,2001.0,8.0,325.0,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,257.0,5.0
9872.0,17.0,2011.0,7.0,66.0,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,175.0,5.0
7409.0,6.0,2004.0,7.0,361.0,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,580.0,1.0
4976.0,16.0,2002.0,7.0,458.0,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,1370.0,1.0
7408.0,5.0,2000.0,7.0,361.0,2.55,1.56,1.29,0.99,6.39,71.0,21.0,7.5,24.0,1539.0,1.0
3924.0,28.0,2009.0,8.0,325.0,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,258.0,5.0
7875.0,28.0,2010.0,0.0,497.0,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,1221.0,5.0
9402.0,7.0,2002.0,4.0,361.0,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,1020.0,1.0
9248.0,23.0,1992.0,2.0,85.0,2.47,0.83,2.87,0.12,6.3,71.0,21.0,7.5,24.0,1539.0,1.0
11246.0,13.0,2004.0,7.0,21.0,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,217.0,7.0
2594.0,15.0,1999.0,0.0,178.0,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,1202.0,7.0
3543.0,28.0,2011.0,8.0,325.0,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,493.0,5.0
4954.0,28.0,2010.0,10.0,325.0,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,1172.0,2.0
3541.0,28.0,2006.0,8.0,325.0,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,493.0,5.0
2954.0,18.0,2014.0,10.0,139.0,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,449.0,1.0
5861.0,16.0,2001.0,0.0,277.0,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,785.0,5.0
8928.0,8.0,1992.0,4.0,448.0,4.47,1.2,0.16,0.19,6.03,71.0,21.0,7.5,24.0,1539.0,1.0
5860.0,15.0,1998.0,0.0,277.0,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,785.0,5.0
5865.0,17.0,2008.0,0.0,277.0,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,812.0,5.0
3212.0,16.0,2006.0,7.0,467.0,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,1365.0,7.0
10001.0,17.0,2013.0,0.0,460.0,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,989.0,5.0
5270.0,17.0,2008.0,4.0,458.0,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,1244.0,1.0
7917.0,15.0,1998.0,0.0,545.0,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,268.0,5.0
2501.0,4.0,2009.0,7.0,361.0,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,843.0,2.0
9720.0,15.0,1996.0,2.0,458.0,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,978.0,7.0
2095.0,18.0,2014.0,8.0,21.0,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,258.0,7.0
5156.0,26.0,2007.0,0.0,290.0,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,1511.0,2.0
1636.0,4.0,2006.0,9.0,6.0,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,1435.0,1.0
9778.0,11.0,1988.0,5.0,361.0,2.97,0.69,1.81,0.11,5.58,71.0,21.0,7.5,24.0,1539.0,1.0
9478.0,10.0,1999.0,2.0,361.0,2.95,0.6,1.97,0.04,5.55,71.0,21.0,7.5,24.0,1539.0,1.0
499.0,17.0,2009.0,0.0,528.0,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,1547.0,5.0
496.0,28.0,2007.0,1.0,528.0,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,1547.0,5.0
3320.0,28.0,2009.0,6.0,325.0,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,1528.0,1.0
9386.0,6.0,2001.0,4.0,361.0,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,1020.0,1.0
6101.0,19.0,2008.0,7.0,85.0,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,268.0,7.0
685.0,17.0,2011.0,0.0,552.0,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,1227.0,7.0
3743.0,30.0,2014.0,0.0,497.0,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,1220.0,5.0
5615.0,6.0,2001.0,6.0,361.0,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,735.0,1.0
9403.0,6.0,2001.0,4.0,361.0,3.21,1.11,0.95,0.2,5.46,71.0,21.0,7.5,24.0,1539.0,1.0
7397.0,10.0,1999.0,11.0,361.0,3.18,1.24,0.94,0.09,5.45,71.0,21.0,7.5,24.0,1539.0,1.0
1687.0,16.0,2001.0,4.0,532.0,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,1511.0,1.0
1256.0,17.0,2008.0,8.0,21.0,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,1514.0,5.0
10704.0,18.0,2016.0,8.0,458.0,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,989.0,7.0
2416.0,5.0,1989.0,5.0,361.0,2.18,0.96,2.0,0.2,5.34,71.0,21.0,7.5,24.0,1539.0,1.0
3215.0,17.0,2009.0,7.0,467.0,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,1365.0,7.0
7386.0,5.0,1999.0,3.0,361.0,3.02,1.12,1.01,0.16,5.31,71.0,21.0,7.5,24.0,1539.0,1.0
3184.0,15.0,2000.0,7.0,469.0,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,1370.0,7.0
501.0,28.0,2012.0,0.0,528.0,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,1539.0,5.0
3201.0,16.0,2003.0,7.0,139.0,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,1370.0,7.0
2342.0,10.0,1999.0,4.0,361.0,3.33,0.79,1.09,0.06,5.27,71.0,21.0,7.5,24.0,1539.0,1.0
1241.0,30.0,2014.0,8.0,21.0,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,1326.0,5.0
5974.0,17.0,2014.0,3.0,458.0,2.03,2.37,0.0,0.87,5.26,71.0,21.0,7.5,24.0,1539.0,1.0
499.0,28.0,2009.0,0.0,528.0,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,1547.0,5.0
10399.0,15.0,1997.0,0.0,138.0,2.3,2.46,0.2,0.28,5.24,85.0,13.0,7.5,24.0,322.0,7.0
5487.0,16.0,2007.0,10.0,139.0,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,453.0,1.0
10409.0,2.0,2013.0,9.0,361.0,0.97,2.11,1.9,0.24,5.23,71.0,21.0,7.5,24.0,1539.0,1.0
6769.0,27.0,2012.0,4.0,361.0,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,1020.0,1.0
2517.0,16.0,2004.0,7.0,467.0,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,843.0,7.0
9391.0,6.0,2003.0,4.0,361.0,2.93,1.25,0.83,0.2,5.2,71.0,21.0,7.5,24.0,1539.0,1.0
7599.0,4.0,2007.0,5.0,361.0,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,843.0,1.0
9398.0,5.0,1994.0,4.0,361.0,2.49,0.98,1.57,0.15,5.19,71.0,21.0,7.5,24.0,1539.0,1.0
2970.0,28.0,2012.0,0.0,139.0,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,477.0,1.0
2347.0,23.0,1995.0,4.0,361.0,2.1,0.74,2.2,0.11,5.15,71.0,21.0,7.5,24.0,1539.0,1.0
2143.0,13.0,2012.0,7.0,21.0,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,217.0,5.0
5739.0,16.0,2003.0,8.0,139.0,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,441.0,7.0
5015.0,5.0,1992.0,4.0,361.0,2.71,0.61,1.7,0.11,5.13,71.0,21.0,7.5,24.0,1539.0,1.0
5927.0,13.0,1996.0,9.0,325.0,3.22,1.69,0.0,0.2,5.12,71.0,21.0,7.5,24.0,1539.0,1.0
3826.0,16.0,2006.0,3.0,428.0,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,647.0,7.0
2991.0,28.0,2010.0,7.0,325.0,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,851.0,5.0
5598.0,4.0,2008.0,10.0,448.0,1.63,2.45,0.44,0.57,5.09,71.0,21.0,7.5,24.0,1539.0,1.0
7922.0,17.0,2009.0,0.0,85.0,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,268.0,5.0
10032.0,4.0,2007.0,0.0,361.0,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,1020.0,1.0
9389.0,5.0,1999.0,4.0,361.0,3.4,1.3,0.15,0.22,5.07,71.0,21.0,7.5,24.0,1539.0,1.0
2969.0,17.0,2010.0,10.0,139.0,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,449.0,1.0
7913.0,15.0,1996.0,0.0,545.0,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,268.0,5.0
3749.0,19.0,2006.0,0.0,497.0,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,1218.0,5.0
10421.0,15.0,1999.0,10.0,21.0,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,1004.0,7.0
